Timestamp,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,attack
2160,0.433559672,1.0,1.0,0,0.604545019,0.186671645,0.548937643,0.988693649,1.0,0,0,1.0,0,0.0,0,0.93005621,0.937920716,0.81744467,0.5,1.0,0.5,0.5,0,1.0,0.0,0.46996193,0.976317352,0.89972702,0,1,0,0,1,0.879318864,0.477057929,0.549181429,0.014394904,0.976473902,0.926937933,0.96844048,0.972721672,1,0,0.958090609,0.283842869,0.96123008,3.67e-05,0,0.0,0,0
2161,0.434363139,1.0,1.0,0,0.604545019,0.186671645,0.546774296,0.98936328,1.0,0,0,1.0,0,0.0,0,0.933849464,0.939142962,0.817512761,0.5,1.0,0.5,0.5,0,1.0,0.0,0.46996193,0.976940971,0.901333577,0,1,0,0,1,0.879318864,0.477057929,0.548155017,0.014394904,0.976255061,0.925526826,0.970622691,0.972721672,1,0,0.958215926,0.283842869,0.961189326,3.67e-05,0,0.0,0,0
2162,0.433001663,1.0,1.0,0,0.604545019,0.186671645,0.544755536,0.989234458,1.0,0,0,1.0,0,0.0,0,0.931194163,0.937730787,0.818352987,0.5,1.0,0.5,0.5,0,1.0,0.0,0.471214254,0.977820617,0.901245545,0,1,0,0,1,0.879318864,0.477057929,0.548155017,0.014394904,0.97636434,0.942086582,0.96844048,0.973226861,1,0,0.959343387,0.296943334,0.963501134,3.67e-05,0,0.0,0,0
2163,0.434541618,1.0,1.0,0,0.604545019,0.190284806,0.543553469,0.990161732,1.0,0,0,1.0,0,0.0,0,0.930587271,0.937948061,0.818262104,0.5,1.0,0.5,0.5,0,1.0,0.0,0.471214254,0.978223681,0.901003485,0,1,0,0,1,0.879318864,0.477057929,0.548155017,0.014394904,0.976875158,0.935359399,0.968104685,0.972115697,1,0,0.959186789,0.292576512,0.962446354,3.67e-05,0,0.0,0,0
2164,0.433872052,1.0,1.0,0,0.604545019,0.190284806,0.541774934,0.989157286,1.0,0,0,1.0,0,0.0,0,0.935366576,0.93922436,0.819374865,0.5,1.0,0.5,0.5,0,1.0,0.0,0.472465357,0.975731208,0.901949859,0,1,0,0,1,0.879833901,0.478745204,0.548155017,0.014394904,0.976802306,0.935453424,0.968104685,0.972115697,1,0,0.958591681,0.28820969,0.962162599,3.67e-05,0,0.0,0,0
2165,0.434363082,1.0,1.0,0,0.604545019,0.188277146,0.538938543,0.990110083,1.0,0,0,1.0,0,0.0,0,0.934380287,0.93857275,0.819670078,0.5,1.0,0.5,0.5,0,1.0,0.0,0.471214254,0.975657689,0.904811072,0,1,0,0,1,0.879833901,0.478745204,0.542009337,0.014394904,0.976802306,0.942180974,0.968020769,0.972115697,1,0,0.958779559,0.31877717,0.962365607,3.67e-05,0,0.0,0,0
2166,0.434430061,1.0,1.0,0,0.604545019,0.189079584,0.536582978,0.989337355,1.0,0,0,1.0,0,0.0,0,0.934152792,0.937866451,0.820078852,0.5,1.0,0.5,0.5,0,1.0,0.0,0.468084665,0.976794221,0.906219642,0,1,0,0,1,0.879833901,0.478408276,0.542009337,0.014394904,0.975087721,0.934371404,0.96844048,0.972115697,1,0,0.959030192,0.31877717,0.962365607,3.67e-05,0,0.0,0,0
2167,0.433715862,1.0,1.0,0,0.599998581,0.190685711,0.535044857,0.989646446,1.0,0,0,1.0,0,0.0,0,0.933470068,0.939115829,0.821532239,0.5,1.0,0.5,0.5,0,1.0,0.0,0.469649459,0.976684086,0.90615359,0,1,0,0,1,0.879833901,0.476721001,0.542009337,0.014394904,0.977020862,0.939828884,0.96844048,0.972115697,1,0,0.959030192,0.305676977,0.962365607,3.67e-05,0,0.0,0,0
2168,0.435412064,1.0,1.0,0,0.599998581,0.189882647,0.532977714,0.990316077,1.0,0,0,1.0,0,0.0,0,0.934759447,0.938518273,0.821827452,0.5,1.0,0.5,0.5,0,1.0,0.0,0.469649459,0.978370718,0.906527812,0,1,0,0,1,0.876223816,0.477057929,0.542009337,0.014394904,0.97694801,0.937946919,0.96844048,0.973529849,1,0,0.959343387,0.301310019,0.963014118,3.67e-05,0,0.0,0,0
2169,0.436483335,1.0,1.0,0,0.599998581,0.185868581,0.530910571,0.990213181,1.0,0,0,1.0,0,0.0,0,0.492944932,0.622800234,0.822622265,0.5,0.0,0.5,0.5,0,0.0,0.0,0.469649459,0.97705082,0.908354448,0,1,0,0,1,0.876223816,0.477733103,0.544058963,0.014394904,0.978333907,0.934465429,0.969363754,0.972216483,1,0,0.960126372,0.296943334,0.963582134,3.67e-05,0,0.0,0,0
